"骨","コツ, ほね","skeleton, bone, remains, frame","HONE the bone

コツ from 豚骨 pig bone"
"納","ノウ, ナッ, ナ, ナン, トウ, おさ.める, -おさ.める, おさ.まる","settlement, obtain, reap, pay, supply, store","糸 thread 内 inside = the thread inside the agreement = 納 settlement

NOU i wont settle

Right now there are NOU threads stored inside OSAMA’s chest (he’s a middle eastern cloth dealer and just sold out of his wares). 

Can also be NA (from phonetic NAI 内)


There are NOU threads inside OSAMA since we blew his ass up

Are OSAMA’s threads inside of him? Let’s settle for NO. "
"弊","ヘイ","abuse, evil, vice, breakage","HEY don’t do that abuse. "
"余韻","よいん","reverberation, swelling (of a hymn), trailing note; lingering memory, aftertaste; suggestiveness (of a book, poem, etc.)","Remaining note = aftertaste"
"香り","かおり","aroma, fragrance, scent, smell","NOW RIch for your nose and sniff the aroma"
"相","ソウ, ショウ, あい-","inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy","I looked at the tree with my eye and was like SO… the feeling is mutual?

木 tree + 目 eye = mutual (trees looking at each other)

木 moku + 目 moku = 相 sou

Only AI with:
相手 companion
相対 involving only the parties involved
相変わらず as usual
相図 signal
相乗り riding together
相性 chemistry between people
相槌 the mouth sounds

Everything else is SOU"
"当","トウ, あ.たる, あ.たり, あ.てる, あ.て, まさ.に, まさ.にべし","hit, right, appropriate, himself","本当の当

This"
"相当","そうとう","corresponding to (in meaning, function, etc.), being equivalent to; appropriate, suitable, befitting, proportionate; to be proportionate to, to be in keeping with, to be deserving of, to be worthy of; considerable, substantial; considerably, rather, quite, fairly, pretty","Correspond to = mutually right"
"量","リョウ, はか.る","quantity, measure, weight, amount, consider, estimate, surmise","RYO measures his weight"
"栄","エイ, ヨウ, さか.える, は.え, -ば.え, は.える, え","flourish, prosperity, honor, glory, splendor","It’s a tree flourishing with speed lines like EYY"
"養","ヨウ, リョウ, やしな.う","foster, bring up, rear, develop, nurture","I foster YO sheep so i can eat them hahaha"
"栄養","えいよう","nutrition, nourishment","Flourish and nurture = nutrition

Eyyo its good to eat nutritious foods"
"成分","せいぶん","ingredient, component, composition","To become a part of something is to be it's ingredient"
"当たり","あたり","hit; success; guess, prediction; affability, friendliness; sensation, touch; bruise (on fruit); situation in which a stone or chain of stones may be captured on the next move; bite (of a fish on a hook), strike; per, each","Per"
"封","フウ, ホウ","seal, closing","FUU there's a inch wide seal on the ground covering my lucky penny"
"減らす","へらす","to abate, to decrease, to diminish, to shorten","Harrass it so much that it diminishes out of fear. "
"減","ゲン, へ.る, へ.らす","dwindle, decrease, reduce, decline, curtail, get hungry","氵 water 咸 salty = water decreases saltiness

GEN from decreasing aGAIN"
"脂肪","しぼう","fat, grease, blubber, lard, suet","She bought so much cake that she became fat"
"主役","しゅやく","leading part, leading actor, leading actress","A lords duty is to play the leading role as SURE as i am to YAK"
"役","ヤク, エキ","duty, war, campaign, drafted labor, office, service, role","To hit the going man with the pike to make him serve, he’s a servant. A servant is defined by their duty. 

In this case the servant is the janitor at the EKI (station) who has to clean up the YAKu every night (this is New York City). 

Original meaning is too hit people to do things, to serve. The left side was 人 and the right was a pike 殳 to hit them with. Now the left side is the going man radical so the meaning is the same basically. 

Old:

It’s my duty to stop and YAK Up the pike i swallowed"
"覀","","variant of radical 146","I consider this a variant of 西 because while it’s a variant of both 西 and 襾 (cover), 襾 doesn’t come up enough to really be useful to know. "
"価","カ, ケ, あたい","value, price","亻 person + 覀 west = higher price for western people (gouging tourists) = price 価

Western people value price and A TAImly arrival over KAlity (quality) of goods"
"献","ケン, コン, たてまつ.る","offering, counter for drinks, present, offer","In the south, they sacrifice dogs to their god KEN

犬　(ケン) -> 献　(ケン)"
"奢","シャ, おご.る, おご.り","extravagance, luxury","An OGRE is a large person likes to live extravagantly and give gifts"
"凄","セイ, サイ, さむ.い, すご.い, すさ.まじい","uncanny, weird, threatening, horrible","SEI, your wife was SUGOKU cold to me today"
"児","ジ, ニ, ゲイ, こ, -こ, -っこ","newborn babe, child, young of animals","An old person with small legs is really a child NEEdless to say"
"庫","コ, ク, くら","warehouse, storehouse","A car in a house, one of many since it’s a warehouse, it’s COld to preserve the goods"
"依頼","いらい","request, commission, entrusting (with a matter); dependence, reliance","E write me your request"
"依","イ, エ, よ.る","reliant, depend on, consequently, therefore, due to","A person depends on their clothes to protect them

I is from the clothes"
"頼","ライ, たの.む, たの.もしい, たよ.る","trust, request","I trust you with this bundle of pages. Deliver it to my friend RAY!"
"改行","かいぎょう","new line, new paragraph; newline, line break, line feed","“Change line”

Kai gyou to the next line"
"改","カイ, あらた.める, あらた.まる","reformation, change, modify, mend, renew, examine, inspect, search","The meaning is change in a way that implies improvement. 

KY reformed himself by hitting himself when he was wrong like ARATATATATA"
"侯","コウ","marquis, lord, daimyo","person 亻 fingering ユ an arrow 矢, KOld stare

nobleman; high official (people who learn archery) ⇒ marquis


Old:

person 亻 fingering ユ an arrow 矢: lord enjoying a hunt

If you insult a lord, a MAN will point an ARROW at YOU with a COld hard stare. 

Originally just an arrow under a cliff. Meant target and then started to mean Prince, Marquis. 

Now there’s a ユ there so we will bring it into the mnemonic as ユ = you "
"王侯","おうこう","the king and his feudal lords","Oh COol the kings and lords said as they ship their wine and look at their kingdom"
"候","コウ, そうろう","climate, season, weather, wait for, expect","The lord held up a wet finger to check the climate and concluded that it’s KOld

This is just lord 侯 with one extra line; it’s also pronounced the same こう. The extra line will be a finger for this mnemonic"
"甫","ホ, フ, はじ.めて","for the first time, not until","Pictograph of something sprouting (屮) from a field (田), depicting a garden or orchard, now written as 圃. The current meaning is a phonetic loan.

Almost always appears when it’s HO, so can memorize as

甫 Ho = sprout 屮 on field 田 = Using the Hoe to till the field of sprouts (farmland)

—— 

H + O

I’m very conflicted about how to remember this as. It shows up so infrequently on it’s own that it’s not very useful to know but it shows up a lot as a radical of other kanji. 

I think is worth a shot trying to remember by its original meaning of begin. 

You can think of it as the one that yellow bridge suggested. A pictogram of plants 十 growing out of a field 田, even though the field now looks more like 用. 

It’s still useful for 新浦, 年浦 without the water radicals there i guess"
"衤","ころも","clothes, clothing radical (no. 145","I keep forgetting that when you add a dot to the altar radical, it becomes clothes"
"補","ホ, おぎな.う","supplement, supply, make good, offset, compensate, assistant, learner","The HOs clothes begin to supplement her hoeyness

衤 clothes + 甫 HO = Ho’s clothes supply the eye with eyecandy = 補 supply"
"空白","くうはく","blank space (in a document); blank, void, gap, vacuum; whitespace","Cold hack into the mainframe with just spaces "
"寉","つる","crane (bird)","Crown bird = The king of the birds is the crane (he wears a crown)"
"確","カク, コウ, たし.か, たし.かめる","assurance, firm, tight, hard, solid, confirm, clear, evident","Stone crane = I can assure you that i can kill two cranes with one stone, I’m not being COCKy = assurance"
"確定","かくてい","decision, settlement, confirmation, establishment","To decide something is to assure that something is now determined"
"尽くす","つくす","to use up, to exhaust, to run out of; to devote oneself (to), to do one's utmost (for), to serve, to work (for a cause); to do to exhaustion, to do completely, to do fully","iTS CUS yOU have to use it all up"
"味わい","あじわい","flavour, flavor, taste; charm, appeal, interest, meaning, significance","味はいい tastes good
味わい flavor

"
"抗菌","こうきん","antibacterial, antimicrobial","Kouking up some hand sanitizer"
"交","コウ, まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも","mingle, mixing, association, coming & going","Pictograph of a person standing with crossed legs, conveying the meaning ""to cross/intersect”


jiāo

1 (orig.) to intersect, to criss-cross
2 → to connect
3 → to exchange
"
"局","キョク, つぼね","bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment","At the bureau, they write passages until they die (CROAK)

Can also mean affair as in 結局"
"句","ク","phrase, clause, sentence, passage, paragraph, counter for haiku","A wrapped around speech is a sentence"
"亢","コウ, たかぶる","high spirits","It means high, just like 高, and is similarly pronounced KOU"
"菌","キン","germ, fungus, bacteria","Kinda looks like a bacterium in a box. KEEN of you to see that"
"火傷","やけど, ヤケド","burn, scald; getting one's fingers burned (e.g. poor investment, mixing with the wrong people)","""Do you like the drink?""

Yah kedo I just burned myself"
"乙","オツ, イツ, おと-, きのと","the latter, duplicate, strange, witty, fishhook radical (no. 5)","Remember this as B/2nd

路人甲和路人乙  ―  lùrén jiǎ hé lùrén yǐ  ―  passerby A and passerby B
他法語成績得了乙。 [MSC, trad.]
他法语成绩得了乙。 [MSC, simp.]
Tā fǎyǔ chéngjì dé le yǐ. [Pinyin]
He got a B in French.
乙肝  ―  yǐgān  ―  hepatitis B

Otsu is B in Japanese too. Because it’s the second heavenly stem. 


However you might see it the most in 乙女 as in 乙女ゲーム, in which case it means younger like younger girl. 

In which case you can think of it as young haha. Idk anymore. 
"
"札","サツ, ふだ","tag, paper money, counter for bonds, placard, bid","Sacks of money"
"省","セイ, ショウ, かえり.みる, はぶ.く","government ministry, conserve, omit","少 few 目 eye =  we only have a few eyes left, we have to conserve them. 

SHOU from 少

省 has two main onyomi readings in Japanese:
1. しょう (shō):
- When meaning ""ministry/department"":
  - 省庁 (shōchō) - government ministry/agency
  - 外務省 (gaimushō) - Ministry of Foreign Affairs

- When meaning ""to save/economize"":
  - 省エネ (shōene) - energy conservation
  - 省力化 (shōryokuka) - labor saving

2. せい (sei):
- Used primarily in words related to reflection/introspection:
  - 反省 (hansei) - self-reflection
  - 省察 (seisatsu) - self-examination

So generally:
- shō (しょう) → government ministries and conservation/saving
- sei (せい) → reflection/examination

In Chinese:
省 (shěng/xǐng) has several meanings:
1. Province (shěng)
- 广东省 (Guǎngdōng shěng) - Guangdong Province
- 山东省 (Shāndōng shěng) - Shandong Province

2. To save/economize (shěng)
- 省钱 (shěng qián) - save money
- 节省 (jiéshěng) - to economize

3. To examine/reflect (xǐng)
- 反省 (fǎnxǐng) - to reflect on oneself
- 省察 (xǐngchá) - to examine carefully


Unlike Chinese, Japanese doesn't use 省 commonly as a standalone word for ""province"" - it uses 都道府県 (todōfuken) instead for administrative divisions.​​​​​​​​​​​​​​​​

Phonosemantic compound. 目 represents the meaning and 生 represents the sound. Based on the original meaning ""eye disease"", now written as 眚. The current meaning is a phonetic loan.

——

Only a select few eyes SHOW enough detail for the ministry"
"袁","エン, オン","long kimono","Long robes

土 hat, 口 head, 衣 clothes. Worn in ancient China

Wizard

Yellow bridge said that it’s a picture of a person wearing a pendant 土口 and clothes 衣. There’s also a theory that it’s pictophonetic. 

I think I’m going to call it the “wizard” because it seems easiest. I always try to come up with a way to remember things the way they are without having to do variations, but this character is kind of hard to do that with because it doesn’t really have meaning besides being Yuan, a common last name. And all the onyomis it appears in are usually En as a result. 



"
"睘","","round, stare","Well this is 袁 with an eye 目 on top of his head. 

So the only natural thing to call it is the all seeing wizard. "
"環","カン, わ","ring, circle, loop","Imagine the radical is 玉 instead of 王. 

Then we can say the all seeing wizard KAN create a ball around the WAorld"
"竟","キョウ, ケイ, おわ.る, ついに, わた.る","end, finally","Sound + legs = noisy person

Finally a noisy person after all the quiet people we see in japan. Kyou is a good day. "
"境","キョウ, ケイ, さかい","boundary, border, region","The noisy people walk around the ground making a border of their territory, aka KYOto, the city of noisy people"
"環境","かんきょう","environment, surroundings, circumstances","The circular border around you is your immediate environment"
"亶","タン, セン, あつ.い, ほしいまま","truly, wholly, cordial","回 + 旦 = multiple mornings"
"壇","ダン, タン","podium, stage, rostrum, terrace","Each time 回 that i go to the stage ground 土 in the morning 旦, it is DAMN beautiful"
"花","カ, ケ, はな","flower","It’s hard to remember KA reading so

I KAn smell the flowers"
"彩る","いろどる","to colour, to color, to paint; to apply make-up; to decorate, to garnish, to adorn, to add flair","色 color + 取る in this case, give (2nd definition on shirabe)

Give color to = adorn

But usually the other kanji

"
"采","サイ, と.る, いろどり","dice, form, appearance, take, gather, coloring","爪 (“hand”) + 木 (“tree”) – a hand (爪) picking from a tree (木 (mù)). Which is why if you add a hand radical, it becomes 採 which means pick. 

This communicates “random” as you won’t know which fruit you are going to pick. Which is kind of like a die. You could also think of it as a hand dropping a wooden die on the table. 

"
"彩","サイ, いろど.る","coloring, paint, makeup","彩 (sai) is the sound. The hair indicates it is about hair, like coloring or dying your hair. This communicated that it’s coloring or makeup or adornment"
"关","","frontier pass, close, relation","关 is guan, close in Chinese"
"咲","ショウ, さ.く, -ざき","blossom, bloom","Imagine the two dots blooming it out of the top of the 天 and people talking about it like さあ look at the blooming heaven"
"取り組み","とりくみ","effort, initiative, dealing with, grappling with, wrestling with; bout (in sports, etc.), match","Take up and assemble to DEAL with something"
"参","サン, シン, まい.る, まい-, まじわる, みつ","nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in","I think the definition makes more sense as ""join""

Ok so

Originally this character was 參
It’s three stars (厽) with their light (彡) reaching humans (人)

Actually it’s the name of a constellation, the Three Stars mansion, which corresponds to the belt of Orion 

That’s why it also can mean 3 in a banker’s note. 

The meaning of join comes about from how the stars are seemingly joined together in a close grouping. 

Eventually 厽 got simplified to ム with a 一 underneath

You can remember the readings (that matter) like this

I want to join MAI SAN stars in the sky (the aforementioned constellation)"
"屈","クツ, かが.む, かが.める","yield, bend, flinch, submit","My theory is that the Corpse Exited with his kutsu (shoes)

Originally bent tail 尾 + 出 (the bent tail wanting to stretch out or sprout)

Ancient books say it’s when you have to fold a body (尸) to carry it out (出) the door. Of course you have to wear KUTSU in order to do it properly. (From 出 SHUTSU)"
"失","シツ, うしな.う, う.せる","lose, error, fault, disadvantage, loss","Picture of a husband holding the side of his head with his right hand as if he made a blunder saying SHITSu"
"敗","ハイ, やぶ.れる","failure, defeat, reversal","Reading from 貝 (ばい) -> 敗（はい）

YA BOO was so mad from the defeat that she hit her shell until it broke. 

Originally meant destroy as in hit a shell until it breaks. "
"羹","コウ, カン, あつもの","hot soup","Two sheep on top of each other KAN run faster when fueled by agar jelly balls

The Japanese dessert ""Yokan"" (羊羹) is a jellied dessert made of red bean paste, agar, and sugar. Its name originates from Chinese and literally means ""sheep broth"" in English, but there isn't a clear link between the dessert and sheep.

The term ""羊羹"" was originally used in ancient China and referred to a mutton soup. Over time, it came to be used to describe a wider variety of thick, gelatinous dishes, not just those made with mutton. This term was then borrowed into Japanese, where it became associated with the bean paste dessert we know today. It's a good example of how words can change in meaning when they move between cultures and languages. 

So, the name doesn't really describe the ingredients or the process of making this dessert, but is a historical term that stuck."
"昜","ヨウ","open, sun","Ideogrammic compound (會意): 日 (“sun”) + 示 + 彡 The rays of the sun.

Memorize as: sunrays (YOU)"
"楊","ヨウ, やなぎ","willow","Sunrays tree = willow
Reading from sunrays (YOU)"
"支","シ, ささ.える, つか.える, か.う","branch, support, sustain, branch radical (no. 65)","Ideogrammic compound (會意): 又 (“hand”) + 十 (“(half of 竹) branch of bamboo”) – a hand breaking off a branch of bamboo.

The action of breaking this branch makes a SHI sound as the leaves rustle "
"枝","シ, えだ","bough, branch, twig, limb, counter for branches","The tree radical makes it even more like a tree branch"
"切符","きっぷ","ticket","Be sure to KEEP your ticket on you

The term ""切符"" in Japanese, pronounced ""kippu,"" is used to denote a ticket. The individual Kanji characters in this word have their own meanings. ""切"" means ""to cut"" and ""符"" means ""mark"" or ""symbol.""

In the past, tickets often took the form of tags or marks that were cut or torn from a larger piece, thus the use of the character for ""cut."" These cut pieces served as symbols or proof of purchase, hence the character for ""mark"" or ""symbol.""

So, together, ""切符"" can be understood as a cut mark or symbol, which accurately describes the function of a ticket. It's an example of how kanji characters can come together to form words with meanings that are greater than the sum of their parts."
"免","メン, まぬか.れる, まぬが.れる","excuse, dismissal","Pictogram of a man in a hat. Borrowed for abstract meaning. 

The MEN tips his hat to excuse himself

Remember the meaning by remembering this is goMEN’s men"
"拝","ハイ, おが.む, おろが.む","worship, adore, pray to","Hand offering crops as offering during worship like HAI yes my god"
"拝見","はいけん","seeing, looking at","Worship see as in humbly see"
"引っ越し","ひっこし","moving (dwelling, office, etc.), changing residence","Sure, the term ""引っ越し"" (hikkoshi) in Japanese, meaning ""to move,"" is composed of two kanji characters: ""引"" (hiki) and ""越"" (koshi). 

The character ""引"" (hiki) means ""pull"" or ""draw."" The character ""越"" (koshi) means ""cross over"" or ""move beyond.""

Together, ""引っ越し"" (hikkoshi) can be literally interpreted as ""pulling across"" or ""drawing across,"" which metaphorically conveys the concept of moving one's belongings from one place to another. In this way, the term aptly describes the action of changing your place of residence."
"戉","ジュウ, エツ, えびす, まさかり","warrior, arms, savage, Ainu","Battle axe"
"越","エツ, オツ, こ.す, -こ.す, -ご.し, こ.える, -ご.え","surpass, cross over, move to, exceed, Vietnam","Think of it like koş like run except it’s move to in this case. 

Or Cross -> coss -> kosu 

走 is the meaning, 戉 is the phonetic

I moved with my axe to a new battlefield (by walking)"
"悩む","なやむ","to be worried, to be troubled","“Na I am fine” said my girlfriend who was definitely not fine"
"離着陸","りちゃくりく","takeoff and landing","Found on zipair

離陸+ 着陸 = 離着陸

Takeoff and landing

離着陸
Leave arrive land"
"离","チ, リ","rare beast, strange, elegant","Pictogram (象形) – an animal, with head at top and butt and tail (厶) at bottom; compare tail in 鬼 (guǐ).

Exists as traditional character, but also simplified from 離, in sense “depart”."
"離","リ, はな.れる, はな.す","detach, separation, disjoin, digress","Ok so i looked it up on baike and it makes more sense now

Left side is a trap with a bird in it 离
There’s a hand on top 亠
And then the bird X
And then the handle and hand grabbing it 禸

And the bird on the right 隹 is to specify that it’s a bird, but in simplified Chinese they took it away

It means separate because you are separating the bird out of the trap with your hand. You are reLEasing it. (Li in Chinese, Ri in Japanese)



Left side is a bird 离
Right side is a bird 隹

Means to leave just like birds flying away. Two birds means REpeat

Phono-semantic compound (形聲, OC *reːls, *rel, *rels): phonetic 离 (OC *rel, *r̥ʰel) + semantic 隹 (“bird”) – black-naped oriole (Oriolus chinensis). This sense is preserved in the compound 離黃.

Phonetically borrowed for the sense ""to depart""."
"着","チャク, ジャク, き.る, き.せる, つ.く, つ.ける","don, arrive, wear, counter for suits of clothing","It seems like KI is don and CHAKU is arrive 

CHAKU: they CHAK that everyone’s seat belt is fastened before the plane lands

TSU is also arrive"
"坴","リク, ロク","clod of earth, land","圥 man on 土 land = land

This character ends up in a lot of kanjis like 熱 and others, so it might be worth memorizing it semantically even though it’s usually a phonetic

It means land, you can assume the 圥 on top is a man (technically it’s a mushroom but who cares) on the ground 土. 

It’s pronounced RIKU because that 圥 is Rick and he’s standing on the land"
"⻖","","","Usually land, or place

Picture of a hill"
"陸","リク, ロク, おか","land, six","Place + Land = land

The 坴 provides the reading of RIKU aka rick standing on the land"
"離陸","りりく","takeoff","“Separate from the land”"
"着陸","ちゃくりく","landing, alighting, touch down","“Arriving at the land”"
"収","シュウ, おさ.める, おさ.まる","income, obtain, reap, pay, supply, store","丩+ 又:
A hand (又) taking 4 (丩) dollars as income (収入) from selling SHUUs. 




丩+ 又

丩:
Pictogram (象形): two entangled ropes – to entangle; to intertwine. Original form of 糾

Join, kinda looks like one git branch joining the main branch (time progressing down)

You could memorize it as 4 but it’s difficult to make mnemonics with 4. EDIT actually it works here

又:
Hand

"
"収納","しゅうのう","storage, putting away; receipt (of funds, payment, etc.); harvesting","From 収 (shū, ""take in,"" ""gather in,"" ""absorb"") + 納 (nō, ""put away,"" ""put in,"" ""store"").

are you SURE NO things are in storage?"
"圭","ケイ, ケ","square jewel, corner, angle, edge","Pictogram (象形): 土 + 土 – stack of (clay, jade) tablets.

Read as GUI

elongated pointed tablet of jade held by ancient rulers on ceremonial occasions

https://zh.m.wikipedia.org/wiki/%E5%9C%AD#

"
"卜","ボク, うらな.う, うらない","divining, fortune-telling, divination or katakana to radical (no. 25)","Perhaps a pictogram (象形) of a crack in an oracle bone, used for divination in ancient China."
"卦","カ, カイ, ケ, うらかた","a divination sign","圭 (gui) + 卜 (divine) = 卦

In china this character has been simplified back to 圭. 

Not super worth to memorize on its own?"
"掛","カイ, ケイ, か.ける, -か.ける, か.け, -か.け, -が.け, か.かる, -か.かる, -が.かる, か.かり, -が.かり, かかり, -がかり","hang, suspend, depend, arrive at, tax, pour","手 (hand) + 圭 (gui, jade tablet) + 卜 (divine)

In this we can imagine a picture where the卜 is a hook on the wall, and the hand is coming from the left trying to hang the gui on the hook (on the wall)

Kake because the gui is actually a cake that we are trying to hang"
"迷","メイ, まよ.う","astray, be perplexed, in doubt, lost, err, illusion","MEI from 米 (aMEIrika)
Walking rice is an illusion "
"或","ワク, コク, イキ, あ.る, あるい, あるいは","some, one, or, possibly, a certain","OR in chinese

Most useful to just memorize it as OR

Ideogrammic compound (會意): 戈 (“dagger-axe (used to defend the territory)”) + 囗 (“city wall”) + 一, “territory”.

Borrowed for abstract meanings. The derivative 國 (OC *kʷɯːɡ) and 域 (OC *ɢʷrɯɡ) refer to the original word.

或：
中国或日本  ―  China or Japan

或者：
请你把这本书交给小王或者小李。 

Please give this book to either Xiao Wang or Xiao Li"
"惑","ワク, まど.う","beguile, delusion, perplexity","The feeling (心) of or (或) is one where you are perplexed because there’s lots of options and you are wakuwakuing. "
"迷惑","めいわく","trouble, bother, annoyance, nuisance, inconvenience; to be troubled (by), to be bothered (by), to be inconvenienced (by)","This MEIght WORK but it’s a lot of inconvenience to try"
"渡","ト, わた.る, -わた.る, わた.す","transit, ford, ferry, cross, import, deliver, diameter, migrate","We crossed the WATA on multiple occasions"
"事務","じむ","office work, clerical work, administration, business, affairs","An office is like a business gym"
"務","ム, つと.める","task, duties","Your duty as a soldier is to use the pike to make a powerful strike against the enemy (MUkou)"
"卯","ボウ, モウ, う","sign of the hare or rabbit, fourth sign of Chinese zodiac, 5-7AM, east","Heavenly stem rabbit

You could think of it as 卵 without the yolks so egg whites. And that in heaven rabbits only eat egg whites"
"留","リュウ, ル, と.める, と.まる, とど.める, とど.まる, るうぶる","detain, fasten, halt, stop","Technically the character on top is 卯 (heavenly stem rabbit) because the traditional of the character is 畱, but since then it’s been simplified to 留 in jp/zh. 

So imagine the character as ム + 刀 + 田

Means stay because
I (ム) am staying (tomaRUed) on the field (田) with a sword (刀), guarding it"
"厶","シ, ボウ, ム, わたくし, ござ.る","I, myself, katakana mu radical (no. 28)","Kanji damage like to describe this as moocow so that they can say the bottom part of 云 is decapitated cow and that 云 is twin decapitated cows. 

I like to describe ム as “I” (from 私) because then 云 is cloud (like it is in Chinese) since the line is a cloud above “me”. 

Then the bottom part of 云 is “me with a hat”"
"云","ウン, い.う, ここに","say","It’s to say because it’s a cloud (speech bubble) coming from your mouth"
"寸","スン","measurement, tenth of a shaku, a little, small","Hand, inch"
"守","シュ, ス, まも.る, まも.り, もり, -もり, かみ","guard, protect, defend, obey","The crown guards the inch from the MAMOs

Onyomi: 寸 (スン) -> 守 (シュ, ス)
The hat takes off the ン
"
"留守","るす","absence, being away from home; house-sitting, house-sitter; being left unattended to (of one's studies, etc.), neglecting","Stay and guard for the emperor during his absence from the capital

v

Emphasis on the emperor away from capital

v

Away from home"
"束","ソク, たば, たば.ねる, つか, つか.ねる","bundle, sheaf, ream, tie in bundles, govern, manage, control","Ring around trees -> a bundle of trees"
"頼む","たのむ","to request, to beg, to ask; to call, to order, to reserve; to entrust to; to rely on; please, please do","I request you ta nomu all the beer

Tanorazu without relying

頼んで作ってもらった"
"勝手","かって","one's own convenience, one's way, selfishness; surroundings, environment, way of doing things; convenience, ease of use; financial circumstances, living, livelihood; kitchen; right hand (in archery), hand that pulls the bowstring; unauthorised (e.g. phone app, WWW site), unofficial","When you win a hand of the card game, the next hand you can play whatever card you like

勝手にする"
"𠔉","","","Used as sound component 11 times, unknown component 1 time. 

-> memorize as juan = KAN/KEN

Depicts two hands (廾) rolling up rice (米) into a ball. Original form of 摶."
"券","ケン","ticket","Contract, ticket

半+ 刀

Ancient contracts were cut in half (by a knife). Now evolved to mean ticket"
"劵","ケン, てがた, わりふ","become fatigued, stop","Basically the same as 券 except with 力 on the bottom instead of 刀. 

Not really useful to memorize this character so just pretend it’s 券
"
"勝","ショウ, か.つ, -が.ち, まさ.る, すぐ.れる, かつ","victory, win, prevail, excel","I won a ticket for the moon SHOUing by KATCHIng it"
"金庫","きんこ","safe, strongbox, cashbox, vault, strongroom; depository, cash office, treasury, provider of funds","Money storehouse = safe"
"駄","ダ, タ","burdensome, pack horse, horse load, send by horse, trivial, worthless","reading of Da/Ta from 太 (TAI)

It’s worthless to have too many horses. What are you going to do with them"
"無駄遣い","むだづかい","waste (of money, time, etc.), squandering, frittering away","In this case遣い translates to use “money”

So a useless use of money"
"勺","シャク","ladle, one tenth of a go, dip","Spoon"
"釣","チョウ, つ.る, つ.り, つ.り-","angling, fish, catch, allure, ensnare","Fishing is like scooping up fish with a metal spoon"
"竿","カン, さお","pole, rod, scale beam, violin neck","竹 is meaning of pole (wooden)
干 is phonetic (kan)

It’s sao because I only fish (釣竿) in the mornings (早, zao in Chinese)"
"乱","ラン, ロン, みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る","riot, war, disorder, disturb","My tongue was hanging out of my mouth like an L as I RAN through the street disturbing everyone

Technically the right side is 乙 but it looks more like an L so I think it would make more sense to use it like an L shape in this case"
"乱れる","みだれる","to be disordered, to be disarranged, to be disarrayed, to be disheveled, to be dishevelled; to be discomposed, to be upset, to get confused, to be disturbed; to lapse into chaos (due to war, etc.)","ME DARted around disrupting everyone"
"紀","キ","chronicle, account, narrative, history, annals, geologic period","Either means discipline or age

The threads (clothes, 糸) around me (己) KEEp me warm"
